No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
1,Sw.5a,??????,??????????????,?????,??????????,19.27403727,97.94483721,"WL,Q,R",4,3.2,4,606.8,418,606.8
7,G.8,?????????,??????????,??????,????????,19.79371,99.74968,"WL,Q",4,3,4,175,111,175
10,G.10,?????????,??????????,???????,????????,19.712565,99.620847,"WL,Q",3.5,2.5,3.5,215.18,141.05,215.18
19,Kh.72,????????,?????????????????,??????,????????,20.218364,99.856992,"WL,Q",5,4,5,170.5,110.2,170.5
20,Kh.89,?????????,????????????,??????,????????,20.157532,99.859607,"WL,Q",2.2,1.76,2.2,66,43.65,66
21,Kh.1,?????????,?????????,?????,???????,17.881094,102.730613,WL,11.6,10,11.6,,,
22,Kh.9A,??????,????????????,?????????,??????,17.147,104.29,"WL,Q",7.2,6,7.2,190,112,190
23,Kh.16B,?????????,???????????,?????,??????,17.437635,104.757622,WL,13,11,13,,,
26,Kh.28A,?????????,??????????,????????,???,17.312293,101.772464,"WL,Q,R",10,8,10,610,414,610
27,Kh.53,????????,?????????????,?????????,????????,17.265903,102.592428,"WL,Q",5,4,5,80,27,80
30,Kh.58A,?????????,??????????,?????,???,17.494883,101.734477,"WL,Q,R",9,7,9,530,305,530
31,Kh.61,?????????,??????????,??????,???,17.130985,101.678854,"WL,Q,R",8.5,7.5,8.5,390,298,390
32,Kh.74,????????????,??????????,?????????,??????,17.821619,103.386933,"WL,Q,R",9.5,8.5,9.5,250,133,250
38,Kh.90,??????????,??????????,????????????,??????,17.069,104.255,"WL,Q",8.7,6.5,8.7,140,80,140
41,Kh.93,????????????,????????????,???????,????????,17.557203,103.335184,"WL,Q",6,5,6,150,52,150
45,Kh.97,?????????,????????????,????????,???,17.898406,101.663245,WL,19,17,19,,,
46,Kh.98,????????????,????????????,????,??????,17.8656111,103.77425,"WL,Q",13.5,12.5,13.5,640,520,640
48,Kh.100,?????????,?????????,?????,??????,18.399612,103.608261,WL,14,12,14,,,
50,Kh.103,????????,??????????,?????,????????,17.482567,102.797383,"WL,Q",5,4,5,95,20,95
51,Kh.104,?????????,??????????????,?????,????????,16.535939,104.7335,WL,13,11,13,,,
63,E.2A,????????,?????????????,?????,?????,15.799516,104.134914,"WL,Q",12,11,12,1020,880,1020
64,E.5,????????,?????????????,?????,???????,15.73254,101.83005,"WL,Q",11.5,10.5,11.5,570,413,570
65,E.6C,???????,??????????,?????,???????,15.95967,102.02961,"WL,Q,R",5.5,3.5,5.5,50,20,50
66,E.8A,????????,?????????,?????,?????????,16.1356,103.16158,"WL,Q",9.5,8.5,9.5,730,612,730
67,E.9,????????,????????????????,????,???????,16.096937,102.570024,"WL,Q",11,10,11,480,198,480
68,E.16A,????????,????????????,?????,???????,16.354924,102.79896,"WL,Q",9.6,8.5,9.6,650,468,650
69,E.18,????????,????????????,???????????,????????,16.034147,103.906943,"WL,Q,R",9.8,9,9.8,1050,893,1050
70,E.20A,????????,???????????,?????????,?????,15.524813,104.249653,"WL,Q",10,8.5,10,1100,703,1100
71,E.21,????????,??????????,?????,???????,15.752964,102.252889,"WL,Q",11.5,10.5,11.5,450,320,450
72,E.22B,??????,???????????,??????,???????,16.654484,102.823487,"WL,Q",10,9,10,420,297,420
73,E.23,????????,????????,?????,???????,15.681632,102.009526,"WL,Q",9,8,9,290,176,290
74,E.29A,??????,????????????,????????,???,16.85091,101.9437,"WL,Q",10.5,8.5,10.5,240,131,240
75,E.32A,????????,???????????,?????????,???????,15.907508,101.708208,"WL,Q,R",12,11,12,500,345,500
76,E.54,??????,???????????,???????????,?????????,16.442663,104.03069,"WL,Q",9,8,9,370,328,370
77,E.57A,??????,??????????,?????,?????????,16.67703,104.09221,"WL,Q",6,5,6,290,227,290
79,E.65,?????,?????????,???????,????????,16.95167,103.16781,"WL,Q",7,6,7,210,115,210
80,E.66A,????????,???????????,??????,????????,16.208248,103.527639,"WL,Q",11.6,10.5,11.6,710,590,710
81,E.67,????????,??????????,??????,?????????,16.9525,103.49667,"WL,Q,R",12.5,11.5,12.5,420,373,420
