No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
1,Sw.5a,น้ำปาย,บ้านท่าโป่งแดง,เมือง,แม่ฮ่องสอน,19.27403727,97.94483721,"WL,Q,R",4,3.2,4,606.8,418,606.8
2,Sw.6,ห้วยแม่ละเมา,บ้านแม่ละเมา,แม่สอด,ตาก,,,"WL,Q,R",,,,,,
3,Sw.15,ห้วยแม่สอด,บ้านขุนห้วยแม่สอด,แม่สอด,ตาก,,,"WL,Q",,,,,,
4,Sw.16A,ห้วยทุ่งน้อย,บ้านขุนห้วยแม่สอด,แม่สอด,ตาก,,,"WL,Q",,,,,,
5,G.2A,น้ำแม่กก,บ้านกกโถ้ง,เมือง,เชียงราย,,,"WL,Q",,,,,,
6,G.4,น้ำแม่กรณ์,บ้านปางริมกรณ์,เมือง,เชียงราย,,,"WL,Q",,,,,,
7,G.8,น้ำแม่ลาว,บ้านต้นยาง,แม่ลาว,เชียงราย,19.79371,99.74968,"WL,Q",4,3,4,175,111,175
8,G.8A,น้ำแม่ลาว,บ้านร่องขุ่น,เมือง,เชียงราย,,,"WL,Q",,,,,,
9,G.9,น้ำแม่สรวย,บ้านกระเหรี่ยงทุ่งพร้าว,แม่สรวย,เชียงราย,,,"WL,Q",,,,,,
10,G.10,น้ำแม่ลาว,บ้านหนองผำ,แม่สรวย,เชียงราย,19.712565,99.620847,"WL,Q",3.5,2.5,3.5,215.18,141.05,215.18
11,G.11,น้ำแม่ลาว,บ้านดอนสลี,แม่สรวย,เชียงราย,,,"WL,Q",,,,,,
12,G.12,น้ำฝาง,บ้านใหม่ริมฝาง,ฝาง,เชียงใหม่,,,"WL,Q",,,,,,
13,G.13,น้ำฝาง,สะพานบ้านแม่ข่า,ฝาง,เชียงใหม่,,,"WL,Q",,,,,,
14,G.14,น้ำฝาง,สะพานบ้านคายใน,แม่อาย,เชียงใหม่,,,"WL,Q",,,,,,
15,I.1,น้ำอิง,สถานีประมง,เมือง,พะเยา,,,"WL,Q",,,,,,
16,I.6,น้ำแวน,บ้านน้ำแวน,เชียงคำ,พะเยา,,,WL,,,,,,
17,I.14,น้ำอิง,บ้านน้ำอิง,ขุนตาล,เชียงราย,,,"WL,Q",,,,,,
18,I.17,น้ำอิง,บ้านเจดีย์งาม,เมือง,พะเยา,,,"WL,Q",,,,,,
19,Kh.72,น้ำแม่คำ,บ้านแม่คำหลักเจ็ด,แม่จัน,เชียงราย,20.218364,99.856992,"WL,Q",5,4,5,170.5,110.2,170.5
20,Kh.89,น้ำแม่จัน,บ้านหัวสะพาน,แม่จัน,เชียงราย,20.157532,99.859607,"WL,Q",2.2,1.76,2.2,66,43.65,66
21,Kh.1,แม่น้ำโขง,บ้านมีชัย,เมือง,หนองคาย,17.881094,102.730613,WL,11.6,10,11.6,,,
22,Kh.9A,น้ำก่ำ,บ้านหนองศาลา,โพนนาแก้ว,สกลนคร,17.147,104.29,"WL,Q",7.2,6,7.2,190,112,190
23,Kh.16B,แม่น้ำโขง,บ้านท่าควาย,เมือง,นครพนม,17.437635,104.757622,WL,13,11,13,,,
24,Kh.17,แม่น้ำโขง,บ้านธาตุพนมเหนือ,ธาตุพนม,นครพนม,,,"WL,R",,,,,,
25,Kh.18,ห้วยโมง,บ้านนาอ่าง,บ้านผือ,อุดรธานี,,,"WL,Q",,,,,,
26,Kh.28A,แม่น้ำเลย,บ้านนาหลัก,วังสะพุง,เลย,17.312293,101.772464,"WL,Q,R",10,8,10,610,414,610
27,Kh.53,ห้วยหลวง,บ้านหนองวัวซอ,หนองวัวซอ,อุดรธานี,17.265903,102.592428,"WL,Q",5,4,5,80,27,80
28,Kh.54,น้ำอูน,บ้านนาหว้า,นาหว้า,นครพนม,,,"WL,Q",,,,,,
29,Kh.55,แม่น้ำสงคราม,บ้านปากอูน,ศรีสงคราม,นครพนม,,,WL,,,,,,
